"ComputerName","Path","Status"
"pc12510","\\pc12510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12510","\\pc12510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12510","\\pc12510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12511","\\pc12511\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12511","\\pc12511\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12511","\\pc12511\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"dcdesk2","\\dcdesk2\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"dcdesk2","\\dcdesk2\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"dcdesk2","\\dcdesk2\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12506l","\\pc12506l\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2203.1037.0_x64__8wekyb3d8bbwe","Not Found"
"pc12010","\\pc12010\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2203.1037.0_x64__8wekyb3d8bbwe","Not Found"
"pc7593","\\pc7593\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7812","\\pc7812\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11249","\\pc11249\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7544","\\pc7544\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7513","\\pc7513\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8606","\\pc8606\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5912","\\pc5912\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8498","\\pc8498\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7627","\\pc7627\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9502","\\pc9502\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9215","\\pc9215\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7509","\\pc7509\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8571","\\pc8571\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6300","\\pc6300\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15059","\\pc15059\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8350","\\pc8350\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8897","\\pc8897\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15073","\\pc15073\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6323","\\pc6323\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8353","\\pc8353\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8780","\\pc8780\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10640","\\pc10640\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9260","\\pc9260\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11231","\\pc11231\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8318","\\pc8318\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5677","\\pc5677\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
